status	surface_name	site_name	species_name	formation_energy	frequencies	reference	active_site	cell_size	solvation_energy	note
ts	Cu	100	CHOH-H-ele	0.5797421555106361	[186.2, 272.7, 334.1, 411.3, 577.9, 634.1, 762.5, 1112.7, 1200.0, 1253.5, 1589.9, 1808.8, 2989.2, 3316.7]	PengRole2020				H2O_gas+CH_ads+(Ea, 1.05 eV)
ts	Cu	100	CH-H-ele	0.34474215551063603	[349.9, 377.4, 419.9, 630.3, 959.1, 1138.9, 1305.0, 2669.1]	PengRole2020				H_gas+CH_ads+ele_gas+(Ea, 0.815 eV)
ts	Cu	100	CH2-H-ele	-0.03236760261556726	[46.5, 308.1, 419.3, 735.8, 802.0, 1089.5, 1293.9, 1348.6, 1410.3, 2859.7, 2941.2]	PengRole2020				H_gas+CH2_ads+ele_gas+(Ea, 0.556 eV)
ts	Cu	100	OC-C	0.3590052677454777	[22.8, 224.1, 290.0, 392.4, 442.5, 517.4, 1902.5]	PengRole2020				CO_ads+C_ads+(Ea, 0.747 eV)
ts	Cu	100	CH3-H-ele	-0.9899833388377081	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	PengRole2020				H_gas+CH3_ads+ele_gas+(Ea, 0.695 eV)
ts	Cu	100	COH-H-ele	0.5442168924347424	[62.8, 228.7, 312.3, 456.3, 467.9, 616.1, 881.0, 1068.8, 1581.3, 2291.2, 3505.4]	PengRole2020				C_ads+H2O_gas+(Ea, 0.19 eV)
ts	Cu	100	C-H-ele	1.0922168924347424	[456.1, 505.5, 567.0, 1008.0, 1223.1]	PengRole2020				C_ads+H_gas+ele_gas+(Ea, 0.738 eV)
ts	Cu	100	H-CO	0.43540334852694607	[240.6, 304.3, 478.0, 1360.2, 1913.8]	PengRole2020				CO_ads+H_ads+(Ea, 1.11 eV)
ts	Cu	100	HCOO-H-ele	-0.6932771071449134	[]	This work				H_gas+HCOO_ads+ele_gas+(Ea, 0.66 eV)
ts	Cu	100	C-H	1.021831865650953	[263.5, 509.8, 536.5, 789.7, 944.9]	PengRole2020				C_ads+H_ads+(Ea, 0.6 eV)
ts	Cu	100	CH-H	0.33735712872684676	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	PengRole2020				H_ads+CH_ads+(Ea, 0.74 eV)
ts	Cu	100	CH2-H	0.21824737060064336	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	PengRole2020				H_ads+CH2_ads+(Ea, 0.739 eV)
ts	Cu	100	CO-H-ele	0.09978837531073523	[13.5, 64.4, 253.4, 318.7, 405.4, 1092.8, 1178.2, 1289.3, 1420.0]	PengRole2020				CO_ads+H_gas+ele_gas+(Ea, 0.942 eV)
ts	Cu	100	C-CO	0.20421689243474242	[105.8, 160.1, 275.9, 489.6, 494.6, 1955.6]	PengRole2020				CO_gas+C_ads+(Ea, -0.15 eV)
slab	Cu	100	slab	0.0	[]	Ara	slab	3x3x4		
